表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,
公開日：,2025年10月31日,,,,,,,,,
,,,,,,,,,,
NA,欠測値,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
調査年,地域,A1101_総人口【人】,A110101_総人口（男）【人】,A110102_総人口（女）【人】,B1103_可住地面積【ｈａ】,B4101_年平均気温【℃】,B4108_日照時間（年間）【時間】,C1101_県内総生産額（平成17年基準）【百万円】,M380100_交際・付き合いの平均時間（15歳以上）（男）【分】,M380200_交際・付き合いの平均時間（15歳以上）（女）【分】
year,pref,pop,male,female,area,temp,sun,gdp,hour_m,hour_f
1987年度,埼玉県,6071000 ,3069000 ,3002000 ,253439 ,15 ,2092 ,NA,NA,NA
1987年度,千葉県,5307000 ,2670000 ,2636000 ,340396 ,16 ,1908 ,NA,NA,NA
1987年度,東京都,11887000 ,5987000 ,5900000 ,135087 ,16 ,1930 ,NA,NA,NA
1987年度,神奈川県,7684000 ,3939000 ,3745000 ,142137 ,16 ,1982 ,NA,NA,NA
1987年度,新潟県,2477000 ,1203000 ,1274000 ,456006 ,14 ,1713 ,NA,NA,NA
1987年度,富山県,1120000 ,539000 ,581000 ,183946 ,14 ,1691 ,NA,NA,NA
1987年度,石川県,1158000 ,560000 ,598000 ,139081 ,15 ,1709 ,NA,NA,NA
1987年度,福井県,822000 ,399000 ,422000 ,103633 ,15 ,1735 ,NA,NA,NA
1987年度,山梨県,841000 ,412000 ,429000 ,91801 ,15 ,2274 ,NA,NA,NA
1987年度,長野県,2148000 ,1043000 ,1104000 ,328071 ,12 ,1978 ,NA,NA,NA
1987年度,岐阜県,2044000 ,994000 ,1050000 ,203801 ,16 ,2045 ,NA,NA,NA
1987年度,静岡県,3619000 ,1783000 ,1837000 ,268786 ,17 ,2133 ,NA,NA,NA
1987年度,愛知県,6566000 ,3289000 ,3277000 ,287415 ,16 ,2179 ,NA,NA,NA
1987年度,三重県,1765000 ,856000 ,909000 ,196180 ,16 ,2099 ,NA,NA,NA
1987年度,滋賀県,1178000 ,579000 ,599000 ,128662 ,15 ,1862 ,NA,NA,NA
1987年度,京都府,2601000 ,1270000 ,1331000 ,113683 ,16 ,1809 ,NA,NA,NA
1987年度,大阪府,8737000 ,4317000 ,4420000 ,127484 ,17 ,2062 ,NA,NA,NA
1987年度,兵庫県,5319000 ,2582000 ,2737000 ,264734 ,16 ,2030 ,NA,NA,NA
1987年度,奈良県,1333000 ,645000 ,688000 ,82639 ,15 ,1899 ,NA,NA,NA
1987年度,和歌山県,1079000 ,515000 ,564000 ,109716 ,17 ,2190 ,NA,NA,NA
1987年度,鳥取県,616000 ,296000 ,321000 ,88906 ,15 ,1723 ,NA,NA,NA
1987年度,島根県,792000 ,380000 ,411000 ,124579 ,15 ,1755 ,NA,NA,NA
1987年度,岡山県,1924000 ,929000 ,995000 ,217810 ,16 ,2092 ,NA,NA,NA
1987年度,広島県,2834000 ,1380000 ,1454000 ,224004 ,16 ,2104 ,NA,NA,NA
1987年度,山口県,1592000 ,757000 ,835000 ,172546 ,15 ,1890 ,NA,NA,NA
1987年度,徳島県,835000 ,399000 ,436000 ,101471 ,17 ,2220 ,NA,NA,NA
1987年度,香川県,1024000 ,493000 ,531000 ,98512 ,16 ,2173 ,NA,NA,NA
1987年度,愛媛県,1525000 ,724000 ,800000 ,163132 ,16 ,2089 ,NA,NA,NA
1987年度,高知県,836000 ,396000 ,440000 ,117151 ,17 ,2204 ,NA,NA,NA
1987年度,福岡県,4756000 ,2283000 ,2473000 ,269197 ,17 ,1920 ,NA,NA,NA
1987年度,佐賀県,880000 ,417000 ,463000 ,137089 ,16 ,1934 ,NA,NA,NA
1987年度,長崎県,1584000 ,751000 ,833000 ,169297 ,17 ,1813 ,NA,NA,NA
1987年度,熊本県,1842000 ,873000 ,969000 ,269237 ,17 ,1980 ,NA,NA,NA
1987年度,大分県,1247000 ,590000 ,657000 ,177581 ,16 ,2010 ,NA,NA,NA
1987年度,宮崎県,1174000 ,556000 ,618000 ,183415 ,18 ,2000 ,NA,NA,NA
1987年度,鹿児島県,1816000 ,854000 ,962000 ,326486 ,18 ,1867 ,NA,NA,NA
1987年度,沖縄県,1199000 ,589000 ,609000 ,105262 ,23 ,1819 ,NA,NA,NA
1986年度,北海道,5673000 ,2757000 ,2916000 ,2192800 ,8 ,1765 ,NA,30 ,33 
1986年度,青森県,1517000 ,727000 ,791000 ,294113 ,9 ,1566 ,NA,32 ,23 
1986年度,岩手県,1431000 ,690000 ,741000 ,361201 ,9 ,1727 ,NA,34 ,26 
1986年度,宮城県,2190000 ,1078000 ,1112000 ,306798 ,11 ,1809 ,NA,35 ,37 
1986年度,秋田県,1249000 ,596000 ,652000 ,309304 ,11 ,1513 ,NA,30 ,27 
1986年度,山形県,1262000 ,609000 ,652000 ,286381 ,11 ,1635 ,NA,32 ,29 
1986年度,福島県,2085000 ,1015000 ,1070000 ,408084 ,12 ,1748 ,NA,29 ,25 
1986年度,茨城県,2746000 ,1369000 ,1377000 ,382253 ,13 ,2028 ,NA,29 ,23 
1986年度,栃木県,1880000 ,932000 ,948000 ,284243 ,13 ,1822 ,NA,26 ,22 
1986年度,群馬県,1931000 ,953000 ,979000 ,221628 ,14 ,2135 ,NA,33 ,28 
1986年度,埼玉県,5954000 ,3008000 ,2946000 ,253439 ,14 ,2187 ,NA,29 ,27 
1986年度,千葉県,5219000 ,2625000 ,2594000 ,340350 ,15 ,2046 ,NA,31 ,25 
1986年度,東京都,11888000 ,5986000 ,5902000 ,134879 ,15 ,1925 ,NA,37 ,31 
1986年度,神奈川県,7553000 ,3869000 ,3684000 ,142058 ,15 ,2066 ,NA,32 ,28 
1986年度,新潟県,2478000 ,1204000 ,1274000 ,455993 ,13 ,1576 ,NA,32 ,27 
1986年度,富山県,1119000 ,539000 ,580000 ,183944 ,13 ,1562 ,NA,29 ,24 
1986年度,石川県,1155000 ,559000 ,596000 ,139057 ,14 ,1698 ,NA,31 ,25 
1986年度,福井県,819000 ,398000 ,421000 ,103629 ,14 ,1649 ,NA,28 ,17 
1986年度,山梨県,837000 ,410000 ,427000 ,91801 ,14 ,2293 ,NA,33 ,24 
1986年度,長野県,2143000 ,1041000 ,1102000 ,328071 ,11 ,2221 ,NA,33 ,29 
1986年度,岐阜県,2036000 ,990000 ,1046000 ,203801 ,15 ,2419 ,NA,30 ,25 
1986年度,静岡県,3597000 ,1771000 ,1826000 ,268776 ,16 ,2168 ,NA,28 ,21 
1986年度,愛知県,6512000 ,3260000 ,3252000 ,287383 ,15 ,2297 ,NA,30 ,27 
1986年度,三重県,1756000 ,852000 ,905000 ,196170 ,15 ,2434 ,NA,25 ,18 
1986年度,滋賀県,1166000 ,574000 ,593000 ,128662 ,14 ,1930 ,NA,26 ,24 
1986年度,京都府,2595000 ,1268000 ,1328000 ,113680 ,15 ,2171 ,NA,29 ,25 
1986年度,大阪府,8705000 ,4303000 ,4402000 ,127351 ,16 ,2056 ,NA,29 ,25 
1986年度,兵庫県,5300000 ,2576000 ,2724000 ,264728 ,15 ,2096 ,NA,28 ,27 
1986年度,奈良県,1318000 ,639000 ,679000 ,82639 ,14 ,1897 ,NA,24 ,22 
1986年度,和歌山県,1083000 ,518000 ,565000 ,109711 ,16 ,2257 ,NA,28 ,23 
1986年度,鳥取県,616000 ,296000 ,321000 ,88905 ,14 ,1827 ,NA,31 ,22 
1986年度,島根県,793000 ,381000 ,411000 ,124575 ,14 ,1849 ,NA,27 ,22 
1986年度,岡山県,1921000 ,928000 ,993000 ,217665 ,15 ,2298 ,NA,27 ,22 
1986年度,広島県,2829000 ,1379000 ,1450000 ,223980 ,15 ,2055 ,NA,24 ,22 
1986年度,山口県,1598000 ,761000 ,837000 ,172492 ,14 ,2048 ,NA,22 ,23 
1986年度,徳島県,835000 ,399000 ,436000 ,101429 ,16 ,2280 ,NA,23 ,17 
1986年度,香川県,1024000 ,493000 ,531000 ,98487 ,15 ,2060 ,NA,28 ,20 
1986年度,愛媛県,1528000 ,726000 ,801000 ,163105 ,16 ,2008 ,NA,28 ,26 
1986年度,高知県,838000 ,397000 ,441000 ,117148 ,16 ,2371 ,NA,28 ,19 
1986年度,福岡県,4741000 ,2279000 ,2462000 ,269047 ,16 ,1852 ,NA,30 ,28 
1986年度,佐賀県,880000 ,417000 ,463000 ,136425 ,16 ,1998 ,NA,33 ,28 
1986年度,長崎県,1589000 ,755000 ,835000 ,169259 ,16 ,1892 ,NA,27 ,22 
1986年度,熊本県,1840000 ,873000 ,967000 ,269212 ,16 ,2032 ,NA,36 ,25 
1986年度,大分県,1249000 ,592000 ,657000 ,177555 ,15 ,2026 ,NA,34 ,25 
1986年度,宮崎県,1174000 ,557000 ,617000 ,183391 ,17 ,2196 ,NA,29 ,31 
1986年度,鹿児島県,1816000 ,854000 ,962000 ,326438 ,18 ,1962 ,NA,34 ,25 
1986年度,沖縄県,1188000 ,585000 ,603000 ,105217 ,22 ,1806 ,NA,45 ,33 
1985年度,北海道,5679439 ,2766296 ,2913143 ,2192776 ,8 ,2184 ,NA,NA,NA
1985年度,青森県,1524448 ,731439 ,793009 ,293934 ,10 ,1933 ,NA,NA,NA
1985年度,岩手県,1433611 ,691740 ,741871 ,361345 ,10 ,1938 ,NA,NA,NA
1985年度,宮城県,2176295 ,1071741 ,1104554 ,306796 ,12 ,2165 ,NA,NA,NA
1985年度,秋田県,1254032 ,599591 ,654441 ,309304 ,11 ,1746 ,NA,NA,NA
1985年度,山形県,1261662 ,609417 ,652245 ,286381 ,11 ,1968 ,NA,NA,NA
1985年度,福島県,2080304 ,1012456 ,1067848 ,408082 ,13 ,2035 ,NA,NA,NA
1985年度,茨城県,2725005 ,1357963 ,1367042 ,382253 ,13 ,2060 ,NA,NA,NA
1985年度,栃木県,1866066 ,924221 ,941845 ,284243 ,13 ,2101 ,NA,NA,NA
1985年度,群馬県,1921259 ,947013 ,974246 ,221628 ,14 ,2283 ,NA,NA,NA
1985年度,埼玉県,5863678 ,2961591 ,2902087 ,253439 ,14 ,2193 ,NA,NA,NA
1985年度,千葉県,5148163 ,2588365 ,2559798 ,340350 ,15 ,2187 ,NA,NA,NA
1985年度,東京都,11829363 ,5955029 ,5874334 ,134695 ,16 ,1998 ,NA,NA,NA
1985年度,神奈川県,7431974 ,3804081 ,3627893 ,142054 ,15 ,2158 ,NA,NA,NA
1985年度,新潟県,2478470 ,1205071 ,1273399 ,455991 ,13 ,2032 ,NA,NA,NA
1985年度,富山県,1118369 ,538955 ,579414 ,183943 ,14 ,1788 ,NA,NA,NA
1985年度,石川県,1152325 ,557664 ,594661 ,139055 ,14 ,1700 ,NA,NA,NA
1985年度,福井県,817633 ,397115 ,420518 ,103622 ,14 ,1713 ,NA,NA,NA
1985年度,山梨県,832832 ,407910 ,424922 ,91801 ,14 ,2340 ,NA,NA,NA
1985年度,長野県,2136927 ,1038070 ,1098857 ,328071 ,12 ,2102 ,NA,NA,NA
1985年度,岐阜県,2028536 ,986919 ,1041617 ,203801 ,15 ,2226 ,NA,NA,NA
1985年度,静岡県,3574692 ,1759455 ,1815237 ,268771 ,16 ,2227 ,NA,NA,NA
1985年度,愛知県,6455172 ,3228724 ,3226448 ,287305 ,16 ,2130 ,NA,NA,NA
1985年度,三重県,1747311 ,847420 ,899891 ,196168 ,16 ,2210 ,NA,NA,NA
1985年度,滋賀県,1155844 ,568735 ,587109 ,128657 ,14 ,1956 ,NA,NA,NA
1985年度,京都府,2586574 ,1264035 ,1322539 ,113679 ,16 ,1907 ,NA,NA,NA
1985年度,大阪府,8668095 ,4286445 ,4381650 ,127330 ,17 ,2169 ,NA,NA,NA
1985年度,兵庫県,5278050 ,2567814 ,2710236 ,264443 ,16 ,2089 ,NA,NA,NA
1985年度,奈良県,1304866 ,632955 ,671911 ,82639 ,15 ,2092 ,NA,NA,NA
1985年度,和歌山県,1087206 ,520172 ,567034 ,109708 ,17 ,2235 ,NA,NA,NA
1985年度,鳥取県,616024 ,295511 ,320513 ,88766 ,15 ,1903 ,NA,NA,NA
1985年度,島根県,794629 ,382893 ,411736 ,124569 ,15 ,1928 ,NA,NA,NA
1985年度,岡山県,1916906 ,926238 ,990668 ,217647 ,16 ,2264 ,NA,NA,NA
1985年度,広島県,2819200 ,1373853 ,1445347 ,223954 ,15 ,2276 ,NA,NA,NA
1985年度,山口県,1601627 ,763803 ,837824 ,172472 ,15 ,2014 ,NA,NA,NA
1985年度,徳島県,834889 ,399689 ,435200 ,101427 ,16 ,2304 ,NA,NA,NA
1985年度,香川県,1022569 ,492696 ,529873 ,98463 ,16 ,2296 ,NA,NA,NA
1985年度,愛媛県,1529983 ,728506 ,801477 ,163075 ,16 ,2113 ,NA,NA,NA
1985年度,高知県,839784 ,398408 ,441376 ,117147 ,17 ,2281 ,NA,NA,NA
1985年度,福岡県,4719259 ,2270496 ,2448763 ,268898 ,17 ,1961 ,NA,NA,NA
1985年度,佐賀県,880013 ,417308 ,462705 ,136424 ,16 ,2070 ,NA,NA,NA
1985年度,長崎県,1593968 ,757617 ,836351 ,169195 ,17 ,1952 ,NA,NA,NA
1985年度,熊本県,1837747 ,872932 ,964815 ,269195 ,17 ,2195 ,NA,NA,NA
1985年度,大分県,1250214 ,593014 ,657200 ,177497 ,16 ,2170 ,NA,NA,NA
1985年度,宮崎県,1175543 ,558355 ,617188 ,183358 ,17 ,2324 ,NA,NA,NA
1985年度,鹿児島県,1819270 ,856493 ,962777 ,326331 ,18 ,2103 ,NA,NA,NA
1985年度,沖縄県,1179097 ,581102 ,597995 ,105182 ,23 ,2071 ,NA,NA,NA
1984年度,北海道,5672000 ,2769000 ,2903000 ,2192738 ,8 ,2276 ,NA,NA,NA
1984年度,青森県,1527000 ,733000 ,793000 ,293928 ,9 ,2022 ,NA,NA,NA
1984年度,岩手県,1433000 ,692000 ,741000 ,361343 ,9 ,2092 ,NA,NA,NA
1984年度,宮城県,2161000 ,1064000 ,1096000 ,306793 ,11 ,2148 ,NA,NA,NA
1984年度,秋田県,1255000 ,601000 ,655000 ,309198 ,11 ,1927 ,NA,NA,NA
1984年度,山形県,1260000 ,609000 ,651000 ,286381 ,10 ,2076 ,NA,NA,NA
1984年度,福島県,2071000 ,1008000 ,1063000 ,408068 ,12 ,2045 ,NA,NA,NA
1984年度,茨城県,2698000 ,1344000 ,1354000 ,382175 ,12 ,2185 ,NA,NA,NA
1984年度,栃木県,1850000 ,916000 ,934000 ,284243 ,12 ,2256 ,NA,NA,NA
1984年度,群馬県,1908000 ,940000 ,968000 ,221628 ,13 ,2382 ,NA,NA,NA
1984年度,埼玉県,5784000 ,2922000 ,2862000 ,253439 ,14 ,2303 ,NA,NA,NA
1984年度,千葉県,5079000 ,2554000 ,2525000 ,339919 ,14 ,2224 ,NA,NA,NA
1984年度,東京都,11759000 ,5922000 ,5837000 ,134617 ,15 ,2088 ,NA,NA,NA
1984年度,神奈川県,7328000 ,3750000 ,3578000 ,142019 ,14 ,2266 ,NA,NA,NA
1984年度,新潟県,2474000 ,1204000 ,1271000 ,455973 ,13 ,1966 ,NA,NA,NA
1984年度,富山県,1116000 ,538000 ,578000 ,183927 ,13 ,1838 ,NA,NA,NA
1984年度,石川県,1147000 ,555000 ,592000 ,139050 ,14 ,1840 ,NA,NA,NA
1984年度,福井県,813000 ,395000 ,418000 ,103604 ,14 ,1935 ,NA,NA,NA
1984年度,山梨県,826000 ,404000 ,422000 ,91801 ,13 ,2419 ,NA,NA,NA
1984年度,長野県,2125000 ,1031000 ,1094000 ,328071 ,11 ,2142 ,NA,NA,NA
1984年度,岐阜県,2017000 ,981000 ,1036000 ,203801 ,15 ,2355 ,NA,NA,NA
1984年度,静岡県,3547000 ,1745000 ,1802000 ,268767 ,16 ,2270 ,NA,NA,NA
1984年度,愛知県,6401000 ,3201000 ,3200000 ,287180 ,15 ,2155 ,NA,NA,NA
1984年度,三重県,1737000 ,842000 ,894000 ,196144 ,15 ,2217 ,NA,NA,NA
1984年度,滋賀県,1141000 ,561000 ,580000 ,128657 ,14 ,2087 ,NA,NA,NA
1984年度,京都府,2578000 ,1261000 ,1317000 ,113678 ,15 ,2013 ,NA,NA,NA
1984年度,大阪府,8632000 ,4272000 ,4361000 ,127230 ,16 ,2271 ,NA,NA,NA
1984年度,兵庫県,5252000 ,2557000 ,2695000 ,264367 ,15 ,2194 ,NA,NA,NA
1984年度,奈良県,1290000 ,626000 ,664000 ,82639 ,14 ,2151 ,NA,NA,NA
1984年度,和歌山県,1088000 ,522000 ,567000 ,109693 ,16 ,2416 ,NA,NA,NA
1984年度,鳥取県,614000 ,295000 ,319000 ,88765 ,14 ,2024 ,NA,NA,NA
1984年度,島根県,793000 ,382000 ,411000 ,124560 ,14 ,2042 ,NA,NA,NA
1984年度,岡山県,1909000 ,923000 ,986000 ,217592 ,15 ,2330 ,NA,NA,NA
1984年度,広島県,2807000 ,1369000 ,1438000 ,223879 ,15 ,2282 ,NA,NA,NA
1984年度,山口県,1601000 ,764000 ,837000 ,172335 ,15 ,2156 ,NA,NA,NA
1984年度,徳島県,834000 ,400000 ,434000 ,101425 ,16 ,2431 ,NA,NA,NA
1984年度,香川県,1018000 ,490000 ,528000 ,98404 ,15 ,2401 ,NA,NA,NA
1984年度,愛媛県,1526000 ,727000 ,799000 ,163007 ,16 ,2273 ,NA,NA,NA
1984年度,高知県,839000 ,398000 ,440000 ,117142 ,16 ,2279 ,NA,NA,NA
1984年度,福岡県,4697000 ,2263000 ,2434000 ,268746 ,16 ,2083 ,NA,NA,NA
1984年度,佐賀県,878000 ,417000 ,462000 ,136407 ,16 ,2190 ,NA,NA,NA
1984年度,長崎県,1595000 ,759000 ,836000 ,169119 ,16 ,2093 ,NA,NA,NA
1984年度,熊本県,1830000 ,870000 ,960000 ,269176 ,16 ,2241 ,NA,NA,NA
1984年度,大分県,1248000 ,592000 ,656000 ,177449 ,15 ,2205 ,NA,NA,NA
1984年度,宮崎県,1173000 ,558000 ,615000 ,183355 ,17 ,2282 ,NA,NA,NA
1984年度,鹿児島県,1814000 ,854000 ,960000 ,326232 ,18 ,2044 ,NA,NA,NA
1984年度,沖縄県,1161000 ,572000 ,589000 ,105116 ,22 ,2039 ,NA,NA,NA
1983年度,北海道,5656000 ,2766000 ,2890000 ,2192725 ,8 ,2010 ,NA,NA,NA
1983年度,青森県,1528000 ,735000 ,793000 ,293904 ,10 ,1949 ,NA,NA,NA
1983年度,岩手県,1432000 ,692000 ,740000 ,361318 ,10 ,1982 ,NA,NA,NA
1983年度,宮城県,2144000 ,1057000 ,1088000 ,306783 ,12 ,2031 ,NA,NA,NA
1983年度,秋田県,1256000 ,602000 ,655000 ,309185 ,11 ,1761 ,NA,NA,NA
1983年度,山形県,1258000 ,608000 ,650000 ,286381 ,11 ,1896 ,NA,NA,NA
1983年度,福島県,2061000 ,1003000 ,1058000 ,408046 ,12 ,1960 ,NA,NA,NA
1983年度,茨城県,2670000 ,1330000 ,1340000 ,382175 ,13 ,2088 ,NA,NA,NA
1983年度,栃木県,1835000 ,908000 ,927000 ,284243 ,13 ,2078 ,NA,NA,NA
1983年度,群馬県,1893000 ,932000 ,961000 ,221628 ,14 ,2313 ,NA,NA,NA
1983年度,埼玉県,5700000 ,2880000 ,2821000 ,253439 ,14 ,2290 ,NA,NA,NA
1983年度,千葉県,5005000 ,2517000 ,2488000 ,339908 ,15 ,2122 ,NA,NA,NA
1983年度,東京都,11700000 ,5893000 ,5807000 ,134525 ,16 ,2081 ,NA,NA,NA
1983年度,神奈川県,7227000 ,3696000 ,3531000 ,141965 ,15 ,2165 ,NA,NA,NA
1983年度,新潟県,2469000 ,1202000 ,1267000 ,455970 ,13 ,1867 ,NA,NA,NA
1983年度,富山県,1113000 ,537000 ,576000 ,183929 ,13 ,1814 ,NA,NA,NA
1983年度,石川県,1141000 ,553000 ,588000 ,139046 ,14 ,1844 ,NA,NA,NA
1983年度,福井県,809000 ,392000 ,416000 ,103595 ,14 ,1775 ,NA,NA,NA
1983年度,山梨県,820000 ,400000 ,419000 ,91801 ,14 ,2356 ,NA,NA,NA
1983年度,長野県,2112000 ,1024000 ,1088000 ,328071 ,11 ,2114 ,NA,NA,NA
1983年度,岐阜県,2004000 ,975000 ,1029000 ,203801 ,15 ,2456 ,NA,NA,NA
1983年度,静岡県,3522000 ,1733000 ,1789000 ,268760 ,16 ,2280 ,NA,NA,NA
1983年度,愛知県,6353000 ,3178000 ,3175000 ,287138 ,15 ,2256 ,NA,NA,NA
1983年度,三重県,1728000 ,838000 ,890000 ,196119 ,15 ,2341 ,NA,NA,NA
1983年度,滋賀県,1127000 ,554000 ,574000 ,128618 ,15 ,2089 ,NA,NA,NA
1983年度,京都府,2569000 ,1257000 ,1312000 ,113678 ,15 ,2047 ,NA,NA,NA
1983年度,大阪府,8588000 ,4252000 ,4337000 ,127229 ,17 ,2263 ,NA,NA,NA
1983年度,兵庫県,5227000 ,2547000 ,2680000 ,264251 ,16 ,2266 ,NA,NA,NA
1983年度,奈良県,1273000 ,618000 ,655000 ,82639 ,15 ,2177 ,NA,NA,NA
1983年度,和歌山県,1090000 ,523000 ,567000 ,109624 ,16 ,2429 ,NA,NA,NA
1983年度,鳥取県,612000 ,294000 ,318000 ,88761 ,15 ,1999 ,NA,NA,NA
1983年度,島根県,790000 ,381000 ,410000 ,124549 ,14 ,1980 ,NA,NA,NA
1983年度,岡山県,1901000 ,919000 ,982000 ,217589 ,16 ,2400 ,NA,NA,NA
1983年度,広島県,2793000 ,1362000 ,1430000 ,223774 ,15 ,2474 ,NA,NA,NA
1983年度,山口県,1600000 ,765000 ,835000 ,172227 ,15 ,2214 ,NA,NA,NA
1983年度,徳島県,831000 ,399000 ,433000 ,101425 ,16 ,2431 ,NA,NA,NA
1983年度,香川県,1014000 ,488000 ,526000 ,98402 ,16 ,2451 ,NA,NA,NA
1983年度,愛媛県,1522000 ,725000 ,796000 ,162955 ,16 ,2269 ,NA,NA,NA
1983年度,高知県,838000 ,398000 ,439000 ,117137 ,16 ,2460 ,NA,NA,NA
1983年度,福岡県,4667000 ,2251000 ,2416000 ,268447 ,17 ,2083 ,NA,NA,NA
1983年度,佐賀県,876000 ,416000 ,460000 ,136391 ,16 ,2144 ,NA,NA,NA
1983年度,長崎県,1596000 ,760000 ,835000 ,169046 ,17 ,2014 ,NA,NA,NA
1983年度,熊本県,1820000 ,865000 ,955000 ,269161 ,17 ,2170 ,NA,NA,NA
1983年度,大分県,1243000 ,590000 ,653000 ,177423 ,16 ,2235 ,NA,NA,NA
1983年度,宮崎県,1170000 ,557000 ,613000 ,183353 ,17 ,2306 ,NA,NA,NA
1983年度,鹿児島県,1807000 ,850000 ,957000 ,326172 ,18 ,2133 ,NA,NA,NA
1983年度,沖縄県,1146000 ,564000 ,582000 ,104852 ,23 ,2133 ,NA,NA,NA
1982年度,北海道,5630000 ,2757000 ,2873000 ,2117545 ,9 ,2243 ,NA,NA,NA
1982年度,青森県,1527000 ,736000 ,792000 ,291565 ,10 ,2061 ,NA,NA,NA
1982年度,岩手県,1429000 ,691000 ,738000 ,353238 ,10 ,2082 ,NA,NA,NA
1982年度,宮城県,2125000 ,1047000 ,1078000 ,302771 ,12 ,2059 ,NA,NA,NA
1982年度,秋田県,1258000 ,603000 ,655000 ,300595 ,11 ,1948 ,NA,NA,NA
1982年度,山形県,1257000 ,608000 ,649000 ,284191 ,11 ,1910 ,NA,NA,NA
1982年度,福島県,2052000 ,999000 ,1053000 ,405144 ,13 ,2043 ,NA,NA,NA
1982年度,茨城県,2636000 ,1312000 ,1324000 ,376492 ,13 ,2071 ,NA,NA,NA
1982年度,栃木県,1822000 ,901000 ,920000 ,282666 ,13 ,2018 ,NA,NA,NA
1982年度,群馬県,1879000 ,925000 ,954000 ,222315 ,14 ,2244 ,NA,NA,NA
1982年度,埼玉県,5615000 ,2837000 ,2778000 ,251319 ,15 ,2207 ,NA,NA,NA
1982年度,千葉県,4923000 ,2476000 ,2447000 ,342709 ,15 ,2008 ,NA,NA,NA
1982年度,東京都,11650000 ,5868000 ,5783000 ,135703 ,16 ,1937 ,NA,NA,NA
1982年度,神奈川県,7127000 ,3644000 ,3483000 ,145274 ,15 ,2151 ,NA,NA,NA
1982年度,新潟県,2465000 ,1200000 ,1265000 ,456173 ,14 ,1998 ,NA,NA,NA
1982年度,富山県,1110000 ,535000 ,574000 ,183833 ,14 ,1955 ,NA,NA,NA
1982年度,石川県,1134000 ,550000 ,585000 ,136905 ,14 ,1871 ,NA,NA,NA
1982年度,福井県,803000 ,389000 ,414000 ,107008 ,14 ,1831 ,NA,NA,NA
1982年度,山梨県,813000 ,397000 ,417000 ,93196 ,14 ,2257 ,NA,NA,NA
1982年度,長野県,2102000 ,1019000 ,1083000 ,324988 ,12 ,2128 ,NA,NA,NA
1982年度,岐阜県,1990000 ,968000 ,1022000 ,202303 ,15 ,2218 ,NA,NA,NA
1982年度,静岡県,3498000 ,1722000 ,1776000 ,268564 ,16 ,2120 ,NA,NA,NA
1982年度,愛知県,6309000 ,3157000 ,3153000 ,285264 ,15 ,2084 ,NA,NA,NA
1982年度,三重県,1716000 ,833000 ,883000 ,195308 ,15 ,2134 ,NA,NA,NA
1982年度,滋賀県,1112000 ,546000 ,566000 ,126685 ,14 ,2086 ,NA,NA,NA
1982年度,京都府,2553000 ,1250000 ,1303000 ,113843 ,15 ,1999 ,NA,NA,NA
1982年度,大阪府,8543000 ,4231000 ,4311000 ,128483 ,16 ,2112 ,NA,NA,NA
1982年度,兵庫県,5198000 ,2534000 ,2664000 ,261380 ,15 ,2180 ,NA,NA,NA
1982年度,奈良県,1254000 ,608000 ,645000 ,80220 ,14 ,2131 ,NA,NA,NA
1982年度,和歌山県,1090000 ,524000 ,566000 ,109378 ,16 ,2314 ,NA,NA,NA
1982年度,鳥取県,610000 ,293000 ,317000 ,88591 ,14 ,2014 ,NA,NA,NA
1982年度,島根県,790000 ,380000 ,409000 ,131825 ,14 ,1923 ,NA,NA,NA
1982年度,岡山県,1891000 ,915000 ,976000 ,214400 ,NA,NA,NA,NA,NA
1982年度,広島県,2777000 ,1355000 ,1422000 ,218881 ,15 ,2216 ,NA,NA,NA
1982年度,山口県,1597000 ,764000 ,833000 ,172115 ,15 ,2094 ,NA,NA,NA
1982年度,徳島県,830000 ,398000 ,432000 ,102017 ,16 ,2236 ,NA,NA,NA
1982年度,香川県,1010000 ,486000 ,523000 ,98276 ,16 ,2294 ,NA,NA,NA
1982年度,愛媛県,1517000 ,723000 ,794000 ,167131 ,16 ,2185 ,NA,NA,NA
1982年度,高知県,836000 ,398000 ,438000 ,121539 ,16 ,2294 ,NA,NA,NA
1982年度,福岡県,4632000 ,2235000 ,2396000 ,273034 ,16 ,2039 ,NA,NA,NA
1982年度,佐賀県,873000 ,414000 ,459000 ,137884 ,16 ,2110 ,NA,NA,NA
1982年度,長崎県,1595000 ,760000 ,834000 ,169914 ,17 ,2040 ,NA,NA,NA
1982年度,熊本県,1811000 ,861000 ,950000 ,276560 ,16 ,2155 ,NA,NA,NA
1982年度,大分県,1239000 ,588000 ,651000 ,178159 ,16 ,2132 ,NA,NA,NA
1982年度,宮崎県,1166000 ,556000 ,610000 ,186848 ,17 ,2251 ,NA,NA,NA
1982年度,鹿児島県,1801000 ,848000 ,954000 ,325255 ,18 ,2104 ,NA,NA,NA
1982年度,沖縄県,1132000 ,557000 ,575000 ,100563 ,23 ,2196 ,NA,NA,NA
1981年度,北海道,5605000 ,2748000 ,2857000 ,2117448 ,8 ,1976 ,NA,26 ,29 
1981年度,青森県,1526000 ,736000 ,790000 ,291503 ,9 ,1858 ,NA,27 ,18 
1981年度,岩手県,1426000 ,690000 ,736000 ,353224 ,9 ,1932 ,NA,23 ,18 
