排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2023,988179928,イオンフィナンシャルサービス株式会社,特定事業所排出者,情報サービス業,東京都千代田区,5392
2023,580064771,日東電工株式会社,特定荷主,化学工業,大阪府大阪市,5358
2023,880007076,株式会社ハンズマン,特定事業所排出者,各種商品小売業,宮崎県都城市,5338
2023,985682801,日本坩堝株式会社,特定事業所排出者,窯業・土石製品製造業,東京都渋谷区,5338
2023,985676017,株式会社あおぞら銀行,特定事業所排出者,銀行業,東京都千代田区,5335
2023,500176554,ＴＯＷＡ株式会社,特定事業所排出者,生産用機械器具製造業,京都府京都市,5330
2023,420037205,はごろもフーズ株式会社,特定荷主,食料品製造業,静岡県静岡市,5327
2023,985225901,三機工業株式会社,特定事業所排出者,設備工事業,東京都中央区,5322
2023,810000178,黒崎播磨株式会社,特定荷主,窯業・土石製品製造業,福岡県北九州市,5318
2023,870102993,株式会社マルハニチロ九州,特定事業所排出者,食料品製造業,熊本県菊陽町,5298
2023,300056283,株式会社サンコー,特定事業所排出者,金属製品製造業,長野県塩尻市,5269
2023,985056307,アネスト岩田株式会社,特定事業所排出者,はん用機械器具製造業,神奈川県横浜市,5223
2023,985721201,フランスベッド株式会社,特定事業所排出者,家具・装備品製造業,東京都新宿区,5221
2023,400328180,株式会社浜木綿,特定事業所排出者,飲食店,愛知県名古屋市,5164
2023,960355164,株式会社レスター,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都港区,5164
2023,400095131,豊田通商株式会社,特定事業所排出者,各種商品卸売業,愛知県名古屋市,5160
2023,150000093,株式会社秋田銀行,特定事業所排出者,銀行業,秋田県秋田市,5157
2023,530243470,神戸天然物化学株式会社,特定事業所排出者,化学工業,兵庫県神戸市,5150
2023,270245855,株式会社ピックルスコーポレーション,特定事業所排出者,食料品製造業,埼玉県所沢市,5146
2023,580276021,フクシマガリレイ株式会社,特定事業所排出者,電気機械器具製造業,大阪府大阪市,5125
2023,200343421,株式会社さいか屋,特定事業所排出者,各種商品小売業,神奈川県川崎市,5119
2023,985114509,株式会社加藤製作所,特定事業所排出者,生産用機械器具製造業,東京都品川区,5027
2023,500534396,株式会社ワコール,特定事業所排出者,繊維工業,京都府京都市,4984
2023,710013431,大倉工業株式会社（香川県）,特定荷主,プラスチック製品製造業（別掲を除く）,香川県丸亀市,4975
2023,400124608,フルハシＥＰＯ株式会社,特定事業所排出者,廃棄物処理業,愛知県名古屋市,4952
2023,985131009,カンダホールディングス株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都千代田区,4929
2023,400257702,東建コーポレーション株式会社,特定事業所排出者,総合工事業,愛知県名古屋市,4916
2023,817059005,パナソニックエンターテインメント＆コミュニケーション株式会社,特定事業所排出者,電気機械器具製造業,大阪府守口市,4916
2023,400014025,石塚硝子株式会社,特定荷主,窯業・土石製品製造業,愛知県岩倉市,4907
2023,500026815,株式会社SCREENホールディングス,特定事業所排出者,生産用機械器具製造業,京都府京都市,4906
2023,985634106,ニチアス株式会社,特定荷主,窯業・土石製品製造業,東京都中央区,4900
2023,580163671,株式会社日阪製作所,特定事業所排出者,生産用機械器具製造業,大阪府大阪市,4892
2023,400062864,株式会社スズケン,特定貨物輸送事業者,機械器具卸売業,愛知県名古屋市,4887
2023,400048364,株式会社サンゲツ,特定事業所排出者,建築材料，鉱物・金属材料等卸売業,愛知県名古屋市,4886
2023,580006526,株式会社駒井ハルテック,特定事業所排出者,金属製品製造業,東京都台東区,4879
2023,985464409,東映株式会社,特定事業所排出者,映像・音声・文字情報制作業,東京都中央区,4829
